,_updated_by,232_type_of_store,184_store_devices,103_number_own_fridges,310_burnout,24_burnout,272_card_days_receive_money,193_sales_planning_tools,62_frequency_only_services,77_delivery_timeslots,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,279_changes_procurement_pandemic,157_frequency_organize_shelves,161_actions_stockouts,162_inventory_extra_space,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap
0,Salomon Abdala Perez,Tailor,POS system (i.e. computer + bar code scanner + printer),--,no,--,--,Software especializado,--,--,--,--,--,--,Semestralmente,Solicitar tiempo al cliente para conseguir el producto,0,--,--,--
1,Salomon Abdala Perez,Grocery store (aka. nanostore),Dataphone (i.e. card payments),--,no,--,--,--,--,--,--,--,--,--,--,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,--,--,--
2,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer)",--,no,--,0.0,--,--,--,--,--,--,--,Semanalmente,Perder la venta,10%,--,--,--
3,Salomon Abdala Perez,Grocery store (aka. nanostore),POS system (i.e. computer + bar code scanner + printer),--,no,--,0.0,Ninguna,--,--,--,--,--,--,Semanalmente,Ofrecer un producto sustituto,0,--,--,--
4,Salomon Abdala Perez,Grocery store (aka. nanostore),Smartphone,--,no,--,1.0,--,--,--,--,--,--,--,Mensualmente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",0,--,--,--
5,Salomon Abdala Perez,Cafeteria,"Dataphone (i.e. card payments),Security cameras,Smartphone",1.0,no,--,1.0,--,--,--,--,--,--,--,Diariamente,Ofrecer un producto sustituto,40%,--,--,--
6,Salomon Abdala Perez,Technology Store,Smartphone,--,no,--,--,--,--,--,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,--,--,--
7,Salomon Abdala Perez,Grocery store (aka. nanostore),"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,1.0,Software especializado,--,--,--,--,--,--,Semanalmente,"Informar al proveedor,Solicitar tiempo al cliente para conseguir el producto",20%,--,--,--
8,Salomon Abdala Perez,Retailer store,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Smartphone",--,no,--,1.0,--,--,--,--,--,--,--,Semanalmente,Solicitar tiempo al cliente para conseguir el producto,20%,--,--,--
9,Salomon Abdala Perez,Grocery store (aka. nanostore),Smartphone,--,no,--,--,Ninguna,--,--,--,--,--,--,Diariamente,Solicitar tiempo al cliente para conseguir el producto,0,--,--,--
10,Ángel Francisco Altamirano Campos,Grocery store (aka. nanostore),"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,--,Diariamente,"Informar al proveedor,Ofrecer un producto sustituto",40%,En desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo
11,Ángel Francisco Altamirano Campos,internet ,"Dataphone (i.e. card payments),POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,1.0,"Aplicación móvil,Software especializado",--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Quincenalmente,Solicitar tiempo al cliente para conseguir el producto,0,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
12,Ángel Francisco Altamirano Campos,Ferretería ,"Analog cash register,Smartphone",--,no,--,0.0,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Quincenalmente,Solicitar tiempo al cliente para conseguir el producto,0,De acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo
13,Ángel Francisco Altamirano Campos,Butcher shop,Smartphone,--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,--,Nunca,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo
14,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,--,no,--,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,--,Diariamente,Ofrecer un producto sustituto,20%,De acuerdo,De acuerdo,Totalmente en desacuerdo
15,Ángel Francisco Altamirano Campos,Dulceria ,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",--,no,--,--,--,--,--,Totalmente en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,--,Semanalmente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo
16,Ángel Francisco Altamirano Campos,Pet store,"Security cameras,Smartphone",--,yes,4.0,0.0,Software especializado,--,--,Totalmente en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Semanalmente,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",10%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo
17,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,2.0,no,--,--,Ninguna,2.0,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"Aumentar la variedad de productos.,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Ofrecer un producto sustituto,0,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo
18,Ángel Francisco Altamirano Campos,Micro-restaurant (aka. fondita),Smartphone,--,yes,3.0,--,Cuaderno,--,--,--,--,--,--,Diariamente,Ofrecer un producto sustituto,0,De acuerdo,De acuerdo,De acuerdo
19,Ángel Francisco Altamirano Campos,Cosmetiquera ,"Security cameras,Smartphone",--,yes,4.0,--,Ninguna,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,--,Diariamente,"Informar al proveedor,Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",30%,Totalmente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
20,Sandra Carreón,Dairy products,"Analog cash register,Smartphone",--,no,--,--,Cuaderno,--,--,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Disminuir la cantidad del pedido,Semanalmente,Informar al proveedor,0,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo
21,Hiram Jiménez,Grocery store (aka. nanostore),Dataphone (i.e. card payments),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,Hiram Jiménez,Grocery store (aka. nanostore),"Analog cash register,Dataphone (i.e. card payments)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,Hiram Jiménez,Butcher shop,"Analog cash register,Smartphone",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
